ID_da_instituicao	nome_da_instituicao	ID_da_microregiao	ID_da_mesoregiao	ID_do_estado	Publicacoes_Disciplina_Biologia	Publicacoes_Disciplina_Biotecnologia	Publicacoes_Disciplina_Especialidades_Medicas	Publicacoes_Disciplina_Engenharias_Civil_Mecanica_e_Quimica	Publicacoes_Disciplina_Quimica	Publicacoes_Disciplina_Ciencias_da_Natureza	Publicacoes_Disciplina_Engenharia_Eletrica_e_Ciencias_da_Computacao	Publicacoes_Disciplina_Pesquisas_Neurologicas	Publicacoes_Disciplina_Humanas	Publicacoes_Disciplina_Doencas_Infecciosas	Publicacoes_Disciplina_Matematica_e_Fisica	Publicacoes_Disciplina_Profissionais_da_Saude	Publicacoes_Disciplina_Ciencias_Sociais	Total_Publicacoes
867100000004	UNIVERSIDADE FEDERAL DE ALFENAS	31049	3110	31	14	7	17	6	16	4	2	7	0	7	7	10	6	103
121100000001	CENTRO UNIVERSITARIO FRANCISCANO	43018	4303	43	2	1	2	1	5	0	0	1	0	3	1	7	1	24
033400000004	UNIVERSIDADE FEDERAL DE OURO PRETO	31033	3107	31	13	3	13	21	16	6	5	5	1	8	9	10	6	116
024700000000	INSTITUTO ADOLFO LUTZ	35061	3515	35	4	3	14	0	6	0	0	3	0	14	0	2	0	46
198100000000	UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA	41037	4110	41	23	6	12	38	25	3	23	2	1	11	17	14	13	188
010300000003	UNIVERSIDADE FEDERAL DO PARANA	41037	4110	41	38	9	45	41	26	17	19	19	3	22	18	30	21	308
002100000009	UNIVERSIDADE FEDERAL DE PERNAMBUCO	26017	2605	26	35	10	38	29	27	12	22	18	2	19	18	26	23	279
007900000004	UNIVERSIDADE ESTADUAL DE CAMPINAS	35032	3507	35	38	11	61	47	31	16	37	24	5	22	27	49	34	402
033300000002	UNIVERSIDADE FEDERAL DE MINAS GERAIS	31030	3107	31	40	11	60	35	28	17	32	23	6	22	22	48	29	373
087000000006	UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL	50004	5002	50	19	9	17	8	17	3	6	5	1	9	4	9	6	113
003900000001	FUNDACAO OSWALDO CRUZ	33018	3306	33	28	9	55	16	24	14	3	19	2	23	8	36	13	250
001700000990	CENTRO UNIVERSITARIO ESTACIO DO CEARA UNIDADE VIA CORPVS	23016	2303	23	5	1	13	0	2	0	0	1	0	7	0	7	1	37
033700000000	UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE	24018	2404	24	30	8	45	26	24	11	22	21	0	20	11	40	22	280
000300000006	UNIVERSIDADE FEDERAL DE LAVRAS	31057	3111	31	30	9	15	22	22	5	4	5	0	17	7	10	8	154
006700000002	UNIVERSIDADE DE SAO PAULO	35061	3515	35	42	11	66	59	30	21	45	27	11	23	28	63	44	470
019200000005	UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	43026	4305	43	37	11	58	49	29	16	32	23	3	22	21	52	32	385
004300000009	UNIVERSIDADE FEDERAL DE SANTA CATARINA	42016	4205	42	33	10	45	45	29	17	27	15	5	20	20	35	30	331
032900000005	UNIVERSIDADE ESTADUAL DE MARINGA	41009	4103	41	25	6	20	23	23	5	10	7	1	12	15	18	16	181
