Ano	ID_da_mesoregiao	Nome_da_mesoregiao	Valor_bruto_agropecuaria	Valor_bruto_industria	Valor_bruto_servicos	Valor_bruto_administracao	Valor_bruto_total	Impostos	PIB	Populacao	PIB_per_capita
2010	1102	Leste Rondoniense	1778497.0	1854579.0	4109576.0	3572442.0	11315097.0	1415242.0	12730335.0	950756.0	497439.81000000006
2010	1101	Madeira-Guaporé	517037.0	2924675.0	3902145.0	2298001.0	9641861.0	1535688.0	11177549.0	609745.0	119327.48
2010	1202	Vale do Acre	521600.0	981663.0	2551336.0	1975805.0	6030405.0	695227.0	6725635.0	527029.0	126543.48
2010	1201	Vale do Juruá	262773.0	109959.0	375476.0	785940.0	1534147.0	82574.0	1616721.0	205764.0	57027.51
2010	1303	Centro Amazonense	1580460.0	21335864.0	17290243.0	6903825.0	47110390.0	10415222.0	57525614.0	2726021.0	219153.06000000006
2010	1302	Sudoeste Amazonense	261886.0	60124.0	256665.0	868590.0	1447261.0	35350.0	1482612.0	351897.0	67586.23
2010	1304	Sul Amazonense	331420.0	71049.0	247291.0	696221.0	1345983.0	31667.0	1375787.0	282438.0	47337.100000000006
2010	1301	Norte Amazonense	45594.0	28757.0	93360.0	312868.0	480579.0	12532.0	493112.0	120581.0	24820.45
2010	1401	Norte de Roraima	89811.0	766807.0	1996590.0	2416034.0	5269239.0	531437.0	5800678.0	362124.0	78451.60999999999
2010	1402	Sul de Roraima	58838.0	51927.0	126322.0	561000.0	798087.0	40386.0	838472.0	89103.0	65281.04000000001
2010	1504	Nordeste Paraense	2408076.0	885840.0	1987071.0	3209101.0	8490080.0	426559.0	8916639.0	1789556.0	235266.28000000003
2010	1506	Sudeste Paraense	2394150.0	18352427.0	6690488.0	3199318.0	30636383.0	1756893.0	32393275.0	1647508.0	493997.56999999995
2010	1502	Marajó	512043.0	115897.0	326513.0	923300.0	1877753.0	60936.0	1938687.0	487161.0	62523.09999999999
2010	1501	Baixo Amazonas	1396925.0	1802514.0	1866189.0	1379893.0	6445520.0	366225.0	6811748.0	736817.0	118100.48999999998
2010	1505	Sudoeste Paraense	917053.0	618233.0	910053.0	951673.0	3397016.0	198282.0	3595296.0	506545.0	92069.19
2010	1503	Metropolitana de Belém	448586.0	5017471.0	15040909.0	4167645.0	24674609.0	4354264.0	29028873.0	2435652.0	101437.13
2010	1602	Sul do Amapá	138295.0	566910.0	3051003.0	3374998.0	7131207.0	613301.0	7744508.0	615076.0	115709.73999999999
2010	1601	Norte do Amapá	57717.0	16196.0	98813.0	297785.0	470506.0	22779.0	493286.0	53613.0	46468.15999999999
2010	1701	Ocidental do Tocantins	1065106.0	1862562.0	2992814.0	2744147.0	8664626.0	874520.0	9539146.0	870736.0	885125.0499999998
2010	1702	Oriental do Tocantins	674686.0	1241995.0	2482440.0	1745437.0	6144548.0	721116.0	6865668.0	512717.0	419620.54999999993
2010	2102	Oeste Maranhense	1139078.0	955724.0	3711242.0	2191040.0	7997082.0	638804.0	8635890.0	1410117.0	228994.97
2010	2104	Leste Maranhense	650972.0	642038.0	2068460.0	2146239.0	5507700.0	365605.0	5873305.0	1334953.0	162496.39999999997
2010	2101	Norte Maranhense	767613.0	4548280.0	10766943.0	4237245.0	20320079.0	3735681.0	24055756.0	2601862.0	220589.88
2010	2105	Sul Maranhense	1204202.0	505620.0	1276848.0	511558.0	3498230.0	263840.0	3762068.0	308290.0	209704.05
2010	2103	Centro Maranhense	776063.0	231708.0	1408613.0	1371586.0	3787969.0	194642.0	3982611.0	914461.0	164596.39
2010	2204	Sudeste Piauiense	190412.0	303611.0	865313.0	1068866.0	2428203.0	232890.0	2661088.0	519491.0	270658.6500000001
2010	2202	Centro-Norte Piauiense	218939.0	2170606.0	5977095.0	3062896.0	11429539.0	1832567.0	13262104.0	1454742.0	263538.07000000007
2010	2203	Sudoeste Piauiense	601745.0	486674.0	985828.0	1081162.0	3155415.0	310452.0	3465869.0	511834.0	361151.64
2010	2201	Norte Piauiense	168223.0	241856.0	965395.0	1281620.0	2657100.0	222988.0	2880086.0	632948.0	120235.81000000003
2010	2307	Sul Cearense	353871.0	746777.0	2321079.0	1664598.0	5086325.0	468381.0	5554704.0	876664.0	118732.29999999999
2010	2302	Norte Cearense	826063.0	1057581.0	1778483.0	1996821.0	5658949.0	474858.0	6133807.0	1006770.0	202321.68
2010	2301	Noroeste Cearense	799597.0	1324916.0	2473336.0	2606069.0	7203918.0	668144.0	7872070.0	1327041.0	213006.17
